accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs001096.v1.p1","T2D-GENES Multi-Ethnic Exome Sequencing Study: KARE","T2D-GENES (Type 2 Diabetes Genetic Exploration by Next-Generation Sequencing in Multi-Ethnic Samples) is a NIDDK-funded international research consortium which seeks to identify genetic variants for type 2 diabetes (T2D)  through multiethnic sequencing studies. T2D-GENES Project 1 is a multi-ethnic sequencing study designed to assess whether less common variants play a","Diabetes Mellitus, Type 2","Case-Control","exome_vcf_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 38 variables, 1 molecular datasets,  SRA, 1087 subjects, 1087 samples","","NIDDK","DS-T2D-IRB-RD --- Disease-specific (type 2 diabetes, irb, rd)","2016-07-07","2016-07-07","Adult-Onset Diabetes; Adult-Onset Diabetes Mellitus; DIABETES MELLITUS, TYPE 2; DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST; DIABETES MELLITUS, TYPE II; DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"
"phs001097.v1.p1","T2D-GENES Multi-Ethnic Exome Sequencing Study: Singapore","T2D-GENES (Type 2 Diabetes Genetic Exploration by Next-Generation Sequencing in Multi-Ethnic Samples) is a NIDDK-funded international research consortium which seeks to identify genetic variants for type 2 diabetes (T2D)  through multiethnic sequencing studies. T2D-GENES Project 1 is a multi-ethnic sequencing study designed to assess whether less common variants play a","Diabetes Mellitus, Type 2","Case-Control","exome_vcf_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 39 variables, 1 molecular datasets,  SRA, 2226 subjects, 2226 samples","","NIDDK","DS-T2D-IRB-RD --- Disease-specific (type 2 diabetes, irb, rd)","2016-07-08","2016-08-10","Adult-Onset Diabetes; Adult-Onset Diabetes Mellitus; DIABETES MELLITUS, TYPE 2; DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST; DIABETES MELLITUS, TYPE II; DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"
"phs001101.v1.p1","MIGen_ExS: MDC","The Malmo Diet and Cancer Study (MDCS) is a community-based prospective epidemiologic cohort of 28,449 subjects who were recruited for baseline examination between 1991 and 1996. From this cohort,  6103 subjects were randomly selected to participate in a cardiovascular cohort (MDCSCC), which seeks to investigate risk factors for cardiovascular","Myocardial Infarction","Case-Control","WES_markerset_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 10 variables, 1 molecular datasets, 1081 subjects, 1081 samples","","NHLBI","HMB-MDS --- Health/medical/biomedical (mds)","2016-08-10","2016-08-10","Cardiac infarction; Cardiovascular Stroke; Cardiovascular Strokes; Heart Attack; Infarct, Myocardial; Infarction of heart"
"phs001105.v1.p1","NHGRI-Mayo Clinic Whole Genome Sequencing of Aggressive Prostate Tumors","We collected DNA from fresh frozen prostate tumor samples and matched peripheral blood from 10 subjects with aggressive, Gleason score 8 disease. Tumor and normal samples were sequenced on  the Illumina HiSeq 2000 to mean depths of 95.3X and 48.3X, respectively.","Prostatic Neoplasms","Case-Control","WGS_markerset_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WGS","4 phenotype datasets, 33 variables, 1 molecular datasets,  SRA, 10 subjects, 20 samples","European (10)","NHGRI","GRU-IRB-PUB-GSO --- General research use (irb, pub, gso)","2017-09-12","2017-09-12","NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
"phs001106.v1.p1","Genomics of Hepatocellular Carcinoma","Despite the growing incidence of hepatocellular carcinoma (HCC) due to increased hepatitis C virus infection and non-alcoholic steatohepatitis in Western populations, the genetic determinants of this cancer have yet  to be established. A minority (15-20%) of HCC occurs in livers without cirrhosis or other chronic disease. Because the liver is functionally","Not Provided","Case Set","Not Provided","Not Applicable","RNA-Seq, WGS, WXS","4 phenotype datasets, 31 variables,  SRA, 120 subjects, 380 samples","","NHGRI","DS-CA --- Disease-specific (cancer)","2018-10-17","2018-10-17",""
"phs001107.v1.p1","Patient-Specific Factors Influence Somatic Variations in VHL Tumors","Patients affected with von Hippel-Lindau disease are at risk of developing multiple independent clear cell renal carcinomas. This study performed whole genome sequencing on 40 tumors from 6 VHL  patients to compare somatic variation patterns within and between patients. Although tumors from the same patient showed many differences, within","von Hippel-Lindau Disease","Tumor vs. Matched-Normal","WES_markerset_grc37","Not Applicable","SNP Genotypes (NGS), WGS","4 phenotype datasets, 33 variables, 1 molecular datasets,  SRA, 6 subjects, 51 samples","","NCI","DS-RCC-IRB --- Disease-specific (kidney cancer, irb)","2016-06-08","2016-06-08","Angiomatoses, Familial Cerebello-Retinal; Angiomatoses, Familial Cerebelloretinal; Angiomatosis Retinae; Angiomatosis, Familial Cerebello-Retinal; Angiomatosis, Familial Cerebelloretinal; Cerebello-Retinal Angiomatoses, Familial"
"phs001108.v1.p1","Assessing Neural Mechanisms using MRI and Magnetic Resonance Spectroscopy","Urea cycle disorders represent a group of rare inborn errors of metabolism that lead to accumulation of ammonia, a toxic product of protein metabolism. Individuals with urea cycle disorders  cannot metabolize the ammonia that accumulates due to enzyme deficiency. The symptoms of these disorders may present at birth, childhood or adulthood","Urea Cycle Disorders, Inborn","Case-Control","Not Provided","Not Applicable","Not Provided","9 phenotype datasets, 633 variables, 6 documents, 46 subjects","","NCATS","GRU-IRB-PUB --- General research use (irb, pub)","2018-04-16","2018-04-16","Disorder of urea cycle; Disorder, Urea Cycle; Disorders, Urea Cycle; Inborn Urea Cycle Disorder; UCD; Urea Cycle Disorder"
"phs001109.v1.p1","Addictions: Genotypes and Genetic Correlates","Drug addiction continues to be a major medical and social problem. It is estimated that one million or more persons in the United States are currently addicted to heroin  or prescription opioids, with millions more worldwide. Cocaine addiction and alcohol dependence are frequent comorbid conditions in persons with","Substance-Related Disorders","Case-Control","Not Provided","Not Applicable","Not Provided","4 phenotype datasets, 35 variables, 1 documents, 1 molecular datasets, 1661 subjects, 1661 samples","European (697), African (32), East Asian (11), African American (693), Hispanic1 (187), Hispanic2 (76), Other Asian or Pacific Islander (11), South Asian (12), Other (75)","NIDA","DS-ADX-IRB-NPU --- Disease-specific (addictive disorders, irb, npu)","2016-08-29","2016-08-29","Disorder, Drug Use; Drug Use Disorder; Drug Use Disorders"
"phs001110.v1.p1","Kids First: Pediatric Research Project on the Genomic Analysis of    Congenital Diaphragmatic Hernia","The Gabriella Miller Kids First Pediatric Research Program (Gabriella Miller Kids First Pediatric Research Program) (Kids First) is a trans-NIH effort initiated in response to the 2014 Gabriella Miller  Kids First Research Act and supported by the NIH Common Fund. This program focuses on gene discovery in pediatric cancers and structural birth","Hernias, Diaphragmatic, Congenital","Family/Twin/Trios","WGS_markerset_grc37","Not Applicable","CNV Genotypes, SNP Genotypes (NGS), WGS","5 phenotype datasets, 27 variables, 1 molecular datasets,  SRA, 594 subjects, 594 samples","","NICHD","DS-CDH-COL-GSO-RD --- Disease-specific (congenital diaphragmatic hernia, col, gso, rd)","2017-05-25","2017-05-25","Agenesis of Hemidiaphragm; CDH; CDH - Congenital diaphragmatic hernia; Congenital Diaphragmatic Defect; Congenital Diaphragmatic Defects; Congenital Diaphragmatic Hernias"
"phs001111.v1.p1","A Prognostic Role of APC in Colorectal Cancers","Colorectal cancer (CRC) is a highly heterogeneous disease, for which prognosis has been relegated to clinic-pathologic staging for decades. There is a need to molecularly stratify subpopulations of CRC  to better predict outcome and assign therapies. Here we report targeted exome sequencing of 1,321 cancer-related genes on 468 tumor specimens, which","Colorectal Neoplasms","Case Set","Not Provided","Not Applicable","Targeted-Capture","4 phenotype datasets, 29 variables,  SRA, 468 subjects, 468 samples","","NCI","GRU --- General research use","2016-09-21","2016-09-21","CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine; Cancer, Colorectal"
"phs001112.v1.p1","Chromosome X Mosaicism Methylation Study","This study investigates methylation patterns in promoter regions on the X chromosomes of females with X chromosome mosaicism in an effort to phase mosaic events to either the active  or inactive X chromosome.","Neoplasm","Case Set","HumanMethylation450","Not Applicable","Methylation (CpG)","4 phenotype datasets, 14 variables, 1 molecular datasets, 33 subjects, 33 samples","","NCI","O-MDS_ONLY --- Methods only","2016-07-01","2016-07-01","CA; CA - Cancer; Cancer; Malignancies; Malignancy; Malignant Tumor"
"phs001115.v1.p1","Tissue Specimens from Patients with Melanoma for Genetic Analysis","The purpose of this study was to obtain tissue specimens derived from patients with melanoma to generate research tools to advance our understanding of the genetics, pathogenesis, and therapeutics  of melanoma. Briefly, tissue was obtained from metastatic lesions and used to generate clonal primary cell lines from melanoma cells and fibroblasts","Melanoma, Cutaneous Malignant","Case Set","Not Provided","Not Applicable","RNA-Seq","4 phenotype datasets, 20 variables, 1 documents,  SRA, 3 subjects, 6 samples","","NCI","GRU --- General research use","2016-06-27","2016-06-27","CMM; Cutaneous Malignant Melanoma; Dysplastic Nevus Syndrome, Hereditary; Familial Atypical Mole-Malignant Melanoma Syndrome; Fammm; MELANOMA, CUTANEOUS MALIGNANT"
"phs001121.v1.p1","Integrated Genetic and Pharmacologic Interrogation of Rare Cancers","Due to the paucity of patient derived models in rare cancers, identification of therapeutic targets remains challenging. We developed a patient derived model, CLF-PED-015-T, from a patient with an  undifferentiated sarcoma. From this model, we performed pooled RNAi and CRISPR-Cas9 negative selection screens and integrated that with a small","Sarcoma","Prospective Longitudinal Cohort","maf_grc37","Not Applicable","RNA-Seq, SNV Aggregate (.MAF), WXS","4 phenotype datasets, 14 variables, 1 molecular datasets, 1 subjects, 3 samples","","NCI","DS-CA-MDS --- Disease-specific (cancer, mds)","2017-03-21","2017-03-21","Sarcoma, Spindle Cell; Sarcomas, Spindle Cell; Spindle Cell Sarcomas"
"phs001123.v1.p1","Consortium on Asthma among African-ancestry Populations in the Americas","Asthma is a complex disease where the interplay between genetic factors and environmental exposures influences susceptibility and disease prognosis. Asthmatics of African descent tend to have more severe asthma  and more severe clinical symptoms than individuals of European ancestry. Advances in genetic and genomic technologies have revolutionized gene","Asthma","Case-Control","WGS_markerset_grc37","Not Applicable","SNP Genotypes (NGS), WGS","4 phenotype datasets, 16 variables, 1 molecular datasets,  SRA, 917 subjects, 917 samples","European (18), African (328), African American (6676), Hispanic1 (622), Hispanic2 (66), South Asian (1), Other (1302)","NHLBI","GRU-IRB --- General research use (irb) , HMB --- Health/medical/biomedical , DS-LD --- Disease-specific (lung disease) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu) , DS-FDO-IRB-NPU --- Disease-specific (focused disease only, irb, npu) , HMB-IRB --- Health/medical/biomedical (irb) , DS-FDO-IRB --- Disease-specific (focused disease only, irb)","2017-04-12","2017-04-12","Airway hyperreactivity; Asthma, Bronchial; Asthmas; Asthmatic; Bronchial Asthma; Reactive airway disease"
"phs001124.v1.p1","Mechanisms of Risk for Sulfonamide Hypersensitivity","Hypersensitivity (HS) reactions to sulfonamide antibiotics occur uncommonly, but with potentially severe clinical manifestations. A familial predisposition to sulfonamide HS is suspected, but robust predictive genetic risk factors have  yet to be identified. Strongly linked genetic polymorphisms have been used clinically as screening tests for other HS reactions prior to","Drug Hypersensitivity Syndrome","Case-Control","HumanExome-12v1-1_A, Human660W-Quad_v1_A, HumanCore-12-v1-0_B","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 22 variables, 1 documents, 1 molecular datasets, 297 subjects, 333 samples","","NIGMS","GRU --- General research use","","","Anticonvulsant hypersensitivity syndrome; DHS; DRESS Syndrome; DRESS Syndromes; Drug Hypersensitivity Syndromes; Drug Reaction with Eosinophilia and Systemic Symptoms"
"phs001127.v1.p1","Genomic Analysis of Paired Endometrial Cancer Primaries and Metastases","Formation of metastases is the major cause of cancer related deaths. Recent studies have sequenced primary endometrial carcinomas yielding data for a single entity in the progression from the  birth of a progenitor tumor cell to metastatic disease. However, the progression of these tumors to metastases has not been characterized. We","Endometrial Neoplasms","Case Set","Genome-Wide_Human_SNP_Array_6.0","Not Applicable","SNP Genotypes (Array), WXS","4 phenotype datasets, 17 variables, 1 molecular datasets, 52 subjects, 143 samples","","NHGRI","DS-CA-MDS --- Disease-specific (cancer, mds)","2016-09-15","2016-09-15","Endometrial Tumor; Endometrium Neoplasm; Endometrium Tumor; Neoplasm of Endometrium; Neoplasm of the Endometrium; Neoplasm, Endometrial"
"phs001130.v1.p1","NIDDM-Atherosclerosis Study (NIDDM-Athero)","The NIDDM-Atherosclerosis Study, funded by NHLBI, was designed as a family study to examine the genetic basis of subclinical atherosclerosis and diabetes in Hispanic families. Family members of probands  with T2D were recruited in the Los Angeles area. The baseline examination of the cohort included the euglycemic hyperinsulinemic clamp test from","Diabetes Mellitus, Type 2","Prospective Longitudinal Cohort","HumanOmni1S-8v1_H_HumanOmniExpress-12v1_H","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 24 variables, 1 molecular datasets, 247 subjects, 247 samples","European (8), Hispanic1 (6), Hispanic2 (231), Other (2)","NHLBI","DS-DHD-IRB-NPU-MDS-RD --- Disease-specific (diabetes and heart disease, irb, npu, mds, rd)","2018-09-28","2018-09-28","Diabetes Complications; Diabetes Mellitus Complication; Diabetes Mellitus Complications; Diabetes Related Complications; Diabetes-Related Complication; Diabetes-Related Complications"
"phs001135.v1.p1","Starting Treatment with Agonist Replacement Therapies (START)","The Starting Treatment with Agonist Replacement Therapy (START) study was a 24-week, open-label, randomized trial of methadone versus Suboxone (buprenorphine/naloxone) for the treatment of opioid dependence. Patients were over  the age of 18 and met DSM-IV qualifications for opioid dependence. The primary goal of the study was to determine if either medicine was associated","Opioid-Related Disorders","Prospective Longitudinal Cohort","Axiom_Smokesc1","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 41 variables, 1 documents, 1 molecular datasets, 979 subjects, 978 samples","European (692), East Asian (2), African American (128), Hispanic1 (41), Hispanic2 (75), Other Asian or Pacific Islander (11), Other (29)","NIDA","GRU --- General research use","2017-02-02","2017-02-02","Abuse, Narcotic; Abuses, Narcotic; Narcotic Abuse; Narcotic Abuses; Disorder, Drug Use; Drug Use Disorder"
"phs001138.v3.p2","GMKF: Kids First Pediatric Research Program in Congenital Heart Disease","The Gabriella Miller Kids First Pediatric Research Program (Kids First) is a trans-NIH effort initiated in response to the 2014 Gabriella Miller Kids First Research Act and supported by  the NIH Common Fund. This program focuses on gene discovery in pediatric cancers and structural birth defects and the development of the Gabriella","Heart Defects, Congenital","Family/Twin/Trios","Not Provided","Not Applicable","WGS","3 phenotype datasets, 10 variables,  SRA, 2208 subjects, 2229 samples","","NCI","HMB --- Health/medical/biomedical , DS-CHD --- Disease-specific (congenital heart disease)","2019-03-26","2018-09-14","Abnormalities, Heart; Abnormality, Heart; Cardiac abnormalities; Cardiac anomaly; Congenital Heart Defect; Congenital anomaly of heart"
"phs001139.v1.p1","NextGen/GENESiPS","Variability in induced pluripotent stem cell (iPSC) lines remains a roadblock for disease modeling and regenerative medicine. Through linear mixed models we have described different sources of gene expression  variability from RNA sequencing data in 317 human iPSC lines from 101 individuals. We found that 50% of genome-wide expression variability is","Insulin Resistance","Case-Control","1000G_ref_panel","Not Applicable","SNP Genotypes (imputed)","4 phenotype datasets, 11 variables, 1 molecular datasets,  SRA, 94 subjects, 94 samples","European (66), African (1), East Asian (8), African American (6), Hispanic2 (6), Other Asian or Pacific Islander (2), South Asian (4), Other (1)","NHLBI","GRU-IRB --- General research use (irb)","2017-02-27","2018-02-27","Not Provided"
"phs001141.v1.p1","PROstate Cancer Medically Optimized Genome Enhanced ThErapy (PROMOTE)","The Prostate Cancer Medically Optimized Genome-Enhanced Therapy (PROMOTE) study uses genetic clues in castration-resistant prostate cancer that may identify an individualized treatment approach for men with the disease. Understanding  the molecular biology behind castration-resistant prostate cancer has led to more treatment options, but there are still no definite conclusions","Prostatic Neoplasms, Castration-Resistant","Case Set","WES_markerset_grc37","Not Applicable","RNA-Seq, SNP Genotypes (NGS), WXS","4 phenotype datasets, 27 variables, 1 molecular datasets,  SRA, 88 subjects, 246 samples","","NCI","GRU --- General research use","2017-02-21","2017-02-21","NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate"
"phs001143.v2.p1","NHLBI TOPMed: The Genetics and Epidemiology of Asthma in Barbados","Asthma is a complex disease where the interplay between genetic factors and environmental exposures influences susceptibility and disease prognosis. Asthmatics of African descent tend to have more severe asthma  and more severe clinical symptoms than individuals of European ancestry. The baseline prevalence of asthma in Barbados is high ( 20%), and from","Asthma","Family/Twin/Trios","TOPMed_WGS_grc37, WGS_markerset_grc38","Not Applicable","SNP/CNV Genotypes (NGS), WGS","5 phenotype datasets, 54 variables, 3 documents, 2 molecular datasets,  SRA, 1527 subjects, 1022 samples","European (3), African (88), African American (845), Hispanic1 (4), Other (5)","NHLBI","GRU-IRB --- General research use (irb)","2019-01-14","2019-01-14","Airway hyperreactivity; Asthma, Bronchial; Asthmas; Asthmatic; Bronchial Asthma; Reactive airway disease"
"phs001146.v1.p1","eQTL Mapping of Mid-Secretory Phase Endometrial Cells","We performed an unbiased genome-wide expression quantitative trait locus (eQTL) mapping study to identify common regulatory (expression) single nucleotide polymorphisms (eSNPs) in mid-secretory endometrium, corresponding to the luteal phase  of the ovarian cycle. Biopsies were collected from 58 women with two or more early pregnancy losses and 53 of these samples passed all quality","Fertility","Collection","Axiom_GW_EUR_1","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 16 variables, 1 molecular datasets, 53 subjects, 53 samples","European (42), East Asian (2), African American (2), Hispanic1 (2), Hispanic2 (3), South Asian (2)","NICHD","GRU-IRB-NPU --- General research use (irb, npu)","2019-01-07","2019-01-07","Differential Fertility; Fertility, Differential; Postpartum Sterility; Sterility, Postpartum; Time to Pregnancy; Time-to-Pregnancies"
"phs001151.v1.p1","Region-specific Transcriptome Analysis of the Human Retina and    RPE/Choroid","Proper spatial differentiation of retinal cell types is necessary for normal human vision. Many retinal diseases, such as Best disease and male germ cell associated kinase (MAK)-associated retinitis pigmentosa,  preferentially affect distinct topographic regions of the retina. While much is known about the distribution of cell types in the retina, the","Not Provided","Control Set","Not Provided","Not Applicable","RNA-Seq","4 phenotype datasets, 24 variables,  SRA, 5 subjects, 29 samples","","NEI","GRU-NPU --- General research use (npu)","2016-08-15","2016-08-15",""
"phs001153.v1.p1","Somatic Mutational Analysis by Exome Sequencing Late-Stage Endometrioid    Endometrial Carcinoma","The purpose of this study was to identify somatic (tumor-specific) mutations in advanced stage endometrioid endometrial carcinoma tumor exomes. The dataset was generated at the NIH Intramural Sequencing Center  (NISC) and NHGRI by next generation sequencing the exomes of 19 de-identified primary tumor DNAs, from advanced stage tumors, and matched non-tumor","Endometrial Neoplasms","Case Set","Not Provided","Not Applicable","WXS","4 phenotype datasets, 16 variables,  SRA, 19 subjects, 38 samples","","NHGRI","DS-ECA-COL --- Disease-specific (endometrial cancer, col)","2017-09-25","2017-09-25","Endometrial Tumor; Endometrium Neoplasm; Endometrium Tumor; Neoplasm of Endometrium; Neoplasm of the Endometrium; Neoplasm, Endometrial"
"phs001154.v1.p1","Indexing Genes Impacted by Copy Number Variation in Developmental    Disorders","A challenge in clinical genomics is to predict whether copy number variation (CNV) affecting a gene or multiple genes will manifest as disease. Increasing recognition of gene dosage effects  in neurodevelopmental disorders prompted us to develop a computational approach based on critical-exon (highly expressed in brain, highly conserved","Developmental Disabilities","Case-Control","Cytogenetic_Arrays","Not Applicable","CNV Genotypes","4 phenotype datasets, 12 variables, 1 molecular datasets, 10618 subjects, 10618 samples","","NICHD","HMB-IRB-PUB-NPU-GSO --- Health/medical/biomedical (irb, pub, npu, gso)","2018-09-25","2018-09-25","Child Development Disorder; Child Development Disorders; Development Disorder, Child; Development Disorders, Child; Developmental Disability; Disabilities, Developmental"
"phs001156.v2.p1","The EVE Asthma Genetics Consortium: Building Upon GWAS","The EVE Asthma Genetics Consortium comprises U.S. investigators who have conducted genome-wide association studies (GWAS) of asthma; the main objective is to combine results of individual studies to increase  the overall power to identify loci for asthma and asthma-associated traits. The consortium includes investigators at 9 U.S. institutions with GWAS","Asthma","Case-Control","Not Provided","Not Applicable","Not Provided","4 phenotype datasets, 19 variables, 4 analyses, 296 subjects, 296 samples","","NHLBI","GRU-NPU --- General research use (npu)","2018-05-08","2018-05-08","Airway hyperreactivity; Asthma, Bronchial; Asthmas; Asthmatic; Bronchial Asthma; Reactive airway disease"
"phs001157.v1.p1","Wisconsin Longitudinal Study on Aging","The Wisconsin Longitudinal Study (WLS) is a long-term study of a random sample of men and women, who graduated from Wisconsin high schools in 1957, and their siblings. The  WLS panel started out with a panel of 10,317 members from the class of 1957. Over time a second panel of 8,734 randomly selected siblings of the","Not Provided","Prospective Longitudinal Cohort","HumanOmniExpress-24v1-1_A, 1000G_ref_panel","Not Applicable","SNP Genotypes (Array), SNP/CNV Genotypes (imputed)","4 phenotype datasets, 23 variables, 2 molecular datasets, 9027 subjects, 9429 samples","European (8971), East Asian (3), African American (14), Hispanic1 (6), Hispanic2 (31), Other (2)","NIA","GRU --- General research use","2017-06-14","2017-06-14",""
"phs001158.v2.p1","Human Dorsal Root Ganglion RNA Seq Profiling","RNA sequencing was performed on human DRGs and relative gene abundances were calculated. Various analyses were performed: 1. Human DRG gene expression profiles were contrasted with a panel of  gene expression profiles of relevant tissues in human and mouse ( integrating, among other sources, datasets from ENCODE and GTex ) in order to","Chronic Pain","Case-Control","Not Provided","Not Applicable","RNA-Seq","4 phenotype datasets, 36 variables,  SRA, 21 subjects, 27 samples","","NINDS","GRU --- General research use","2019-03-01","2017-07-28","Amplified Musculoskeletal Pain Syndrome; Chronic Pain, Widespread; Chronic Pains, Widespread; Chronic Widespread Pain; Pain, Widespread Chronic; Pains, Widespread Chronic"
"phs001159.v1.p1","Genetic Analysis to Interrogate Tumor Heterogeneity in Lung    Adenocarcinoma","We employed next-generation sequencing to identify somatic alterations in multiple metastatic sites from an ""exceptional responder"" lung adenocarcinoma patient during his seven year course of ERBB2-directed therapies. The degree  of heterogeneity was unprecedented, with 1% similarity between somatic alterations of the lung and lymph nodes. One novel translocation, PLAG1-ACTA2","Adenocarcinoma of lung","Case Set","WGS_markerset_grc37, Somatic_Variant_grc37","Not Applicable","SNP/CNV Genotypes (NGS), WGS, WXS","3 phenotype datasets, 22 variables, 2 molecular datasets,  SRA, 1 subjects, 4 samples","Other (1)","NCI","HMB-IRB-PUB --- Health/medical/biomedical (irb, pub)","2017-12-12","2017-12-12",""
"phs001165.v1.p1","eMERGE: Children's Hospital of Philadelphia - WGS","The Center for Applied Genomics (CAG) is a specialized Center of Emphasis at the Children's Hospital of Philadelphia (CHOP) with the primary goal of translating basic research findings to  medical innovations. The mission of CAG is to develop new and better ways to diagnose and treat children affected by rare and complex medical","Pediatrics","Prospective Longitudinal Cohort","Not Provided","Not Applicable","WGS","4 phenotype datasets, 13 variables, 900 subjects, 900 samples","","NHGRI","GRU --- General research use","2018-05-25","2018-05-25","Not Provided"
"phs001168.v2.p2","Kids First: Genomic Studies of Orofacial Cleft Birth Defects","The Gabriella Miller Kids First Pediatric Research Program (Kids First) is a trans-NIH effort initiated in response to the 2014 Gabriella Miller Kids First Research Act and supported by  the NIH Common Fund. This program focuses on gene discovery in pediatric cancers and structural birth defects and the development of the Gabriella","Cleft Lip","Family/Twin/Trios","Not Provided","Not Applicable","WGS","5 phenotype datasets, 23 variables,  SRA, 1378 subjects, 1311 samples","","NCI","DS-OBDR-MDS --- Disease-specific (orofacial birth defects and related phenotypes, mds) , DS-OBD-MDS --- Disease-specific (orofacial birth defects, mds) , DS-OC-PUB-MDS --- Disease-specific (oral clefts, pub, mds) , HMB-MDS --- Health/medical/biomedical (mds) , GRU --- General research use","2019-04-05","2018-03-20","CL - Cleft lip; Cheiloschisis; Cheiloschisis of upper lip; Cleft Lips; Cleft of upper lip; Congenital fissure of lip"
"phs001169.v1.p1","Integrative Analysis of Lung Adenocarcinoma","We performed an integrative genomic analysis, incorporating whole exome sequence, DNA copy number, DNA methylation and transcriptome sequencing, for 101 LUAD samples from the Environment And Genetics in Lung  cancer Etiology (EAGLE) study.","Adenocarcinoma of lung","Case Set","HumanOmniExpress","Not Applicable","SNP Genotypes (Array), RNA-Seq, WXS","4 phenotype datasets, 15 variables, 1 molecular datasets,  SRA, 101 subjects, 382 samples","European (100)","NCI","DS-LDS-MDS --- Disease-specific (lung disease or smoking, mds)","2017-09-14","2017-09-14",""
"phs001173.v1.p1","Head and Neck Cancer Genome-wide Association Study","Head and neck cancers have well-documented associations with tobacco and alcohol exposure, but the disease develops in only a small fraction of users, which implies an important role for  genetic susceptibility. Therefore, head and neck cancers are an excellent model for studying genetic susceptibility to environmental carcinogens. The","Carcinoma, squamous cell of head and neck","Case-Control","HumanOmniExpress-12v1_C","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 20 variables, 1 molecular datasets, 3333 subjects, 3333 samples","European (3301), African American (1), Hispanic1 (3), Hispanic2 (22), Other Asian or Pacific Islander (3), Other (3)","NCI","GRU --- General research use","2017-09-27","2017-09-27",""
"phs001174.v1.p1","Female Infertility: Primary ovarian insufficiency","Premature ovarian failure, or primary ovarian insufficiency (POI) is a phenotype of diminished or absent ovarian function occurring in 1-2% of reproductive aged women. Most cases occur spontaneously. Evaluation  of the gametes in women with POI is difficult and invasive. Practitioners must often rely on indirect biomarkers of ovarian function and oocyte","Infertility, Female","Case Set","Not Provided","Not Applicable","WXS","4 phenotype datasets, 13 variables,  SRA, 98 subjects, 98 samples","","NHGRI","HMB --- Health/medical/biomedical","2017-04-20","2017-04-20","Postpartum Sterility; Sterility, Postpartum"
"phs001176.v2.p1","GxE and Complex Traits","Functional variants associated with complex traits tend to fall in non-coding regions and affect regulatory mechanisms that are not yet well characterized. Furthermore, it is generally difficult to determine  in which tissues and conditions they may have a functional impact. This is because the effect of a genetic variant on a molecular pathway, and","Gene-Environment Interaction","Collection","Not Provided","Not Applicable","OTHER, RNA-Seq","4 phenotype datasets, 20 variables,  SRA, 15 subjects, 1388 samples","","NIGMS","GRU --- General research use","2018-02-02","2017-10-18","Environment Gene Interaction; Environment-Gene Interaction; Environment-Gene Interactions; Gene Environment Interaction; Gene-Environment Interactions; Interaction, Environment-Gene"
"phs001177.v1.p1","Rare Germline CNVs in Familial Melanoma","Mounting evidence suggests that copy number variations (CNVs) can contribute to cancer susceptibility. The main goal of this study was to evaluate the role of germline CNVs in melanoma  predisposition in high-risk melanoma families. We used genome-wide tiling comparative genomic hybridization and SNP arrays to characterize CNVs in","Melanoma","Family/Twin/Trios","HumanOmniExpress","Not Applicable","SNP Genotypes (Array), RNA-Seq","5 phenotype datasets, 22 variables, 1 molecular datasets,  SRA, 116 subjects, 166 samples","European (112), Hispanic2 (1)","NCI","HMB-MDS --- Health/medical/biomedical (mds)","2017-03-30","2017-03-30","Cancer of skin pigment cells; MM - Malignant melanoma; Malignant Melanoma; Malignant Melanomas; Malignant melanoma, no ICD-O subtype; Malignant melanoma, no International Classification of Diseases for Oncology subtype"
